name,platform,year_of_release,gendre,publisher,developer,rating
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,Square Enix,T
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,EA Canada,E
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,4J Studios,M
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,BioWare,M
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,OfficeCreate,E
Imagine: Babyz,DS,2007,Simulation,Ubisoft,Ubisoft,E
Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,Virtual Toys,E
Sonic and the Secret Rings,Wii,2007,Platform,Sega,Sonic Team,E
Mario Strikers Charged,Wii,2007,Sports,Nintendo,Next Level Games,E10+
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,Traveller's Tales,E10+
Madden NFL 08,PS2,2007,Sports,Electronic Arts,EA Tiburon,E
Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,Capcom,T
Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,,
Game Party,Wii,2007,Misc,Midway Games,Midway,E
Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,Black Box,E10+
Madden NFL 08,X360,2007,Sports,Electronic Arts,EA Tiburon,E
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,Yuke's,T
LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,Traveller's Tales,E10+
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,Neversoft Entertainment,T
Resident Evil 4,Wii,2007,Action,Capcom,,
Guitar Hero II,X360,2007,Misc,Activision,Harmonix Music Systems,T
High School Musical: Makin' the Cut!,DS,2007,Puzzle,Disney Interactive Studios,,
Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,Amaze Entertainment,T
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,Konami,E10+
Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,EA Black Box,E10+
Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,EA Black Box,E10+
PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,,
TouchMaster,DS,2007,Puzzle,Midway Games,Midway Studios - San Diego,E10+
High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios,,
Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,Ubisoft Montpellier,E10+
The Orange Box,X360,2007,Shooter,Electronic Arts,Valve Software,M
Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,Retro Studios,T
High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios,,
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,,
FIFA Soccer 08,PS3,2007,Sports,Electronic Arts,EA Canada,E
Crackdown,X360,2007,Shooter,Microsoft Game Studios,Realtime Worlds,M
Deal or No Deal,DS,2007,Misc,Mindscape,Artefacts Studio,E
Ben 10: Protector of Earth,DS,2007,Action,D3Publisher,,
Personal Trainer: Math,DS,2007,Puzzle,Nintendo,Jupiter Corporation,E
Star Wars Battlefront: Renegade Squadron,PSP,2007,Shooter,LucasArts,Rebellion,T
Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,Ninja Theory,T
MySims,Wii,2007,Simulation,Electronic Arts,EA Redwood Shores,E
Dragon Quest IV: Chapters of the Chosen,DS,2007,Role-Playing,Square Enix,ArtePiazza,E10+
SpongeBob's Atlantis SquarePantis,DS,2007,Action,THQ,THQ,E
Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,Konami,E
Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,,
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,Cavia Inc.,M
The Simpsons Game,PS2,2007,Action,Electronic Arts,Electronic Arts,T
The Simpsons Game,DS,2007,Action,Electronic Arts,Griptonite Games,T
Sonic Rivals 2,PSP,2007,Racing,Sega,Backbone Entertainment,E
Imagine: Master Chef,DS,2007,Simulation,Ubisoft,Ubisoft,E
SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,SCEE London Studio,E10+
My Word Coach,DS,2007,Misc,Ubisoft,Ubisoft,E
WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,Yuke's,T
Smarty Pants,Wii,2007,Misc,Electronic Arts,Planet Moon Studios,E
Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1st Playable Productions,E
Hello Kitty Party,DS,2007,Misc,Rising Star Games,Barnstorm Games,E
Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,,
FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,EA Canada,E
Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,Papaya Studios,E
FIFA Soccer 08,X360,2007,Sports,Electronic Arts,EA Canada,E
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,Yuke's,T
Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,Magic Pockets,E
Namco Museum DS,DS,2007,Misc,Atari,M2,E
EA Playground,Wii,2007,Sports,Electronic Arts,EA Canada,E
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,Rockstar San Diego,E
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,Ubisoft Montreal,M
Ratatouille,DS,2007,Action,THQ,,
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,49Games,E
Transformers: Autobots / Decepticons,DS,2007,Action,Activision,,
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,High Voltage Software,E10+
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,Rare Ltd.,E
Final Fantasy IV,DS,2007,Simulation,Square Enix,Matrix Software,E10+
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,Electronic Arts,T
Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,,,
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,Maxis,T
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,Yuke's,T
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,TOSE,T
Sonic Rush Adventure,DS,2007,Platform,Sega,Dimps Corporation,E
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,EA LA,T
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,Infinity Ward,M
Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,Team Ninja,M
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,Clap Hanz,E
SingStar,PS3,2007,Misc,Sony Computer Entertainment,SCEE London Studio,T
Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,Sports Interactive,E
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,Harmonix Music Systems,T
Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,EA Games,E10+
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,Electronic Arts,T
Petz Dogz 2,DS,2007,Simulation,Ubisoft,MTO,E
Virtua Fighter 5,PS3,2007,Fighting,Sega,Sega AM2,T
Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,Konami,E
The Orange Box,PS3,2007,Shooter,Electronic Arts,EA Games,M
Endless Ocean,Wii,2007,Adventure,Nintendo,Arika,E
Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,Incognito Inc.,T
DiRT,PS3,2007,Racing,Codemasters,Codemasters,E
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,n-Space,T
Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive,Black Lantern Studios,E
Virtua Tennis 3,PS3,2007,Sports,Sega,Sega AM3,E
Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft,Virtual Toys,E
FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,EA Canada,E
Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,EA Salt Lake,E
Petz: Catz 2,DS,2007,Simulation,Ubisoft,Powerhead Games,E
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,8ing/Raizing,T
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,Project Aces,T
Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,Capcom,T
WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,Yuke's,T
Madden NFL 08,PS3,2007,Sports,Electronic Arts,EA Tiburon,E
Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,Rockstar Leeds,M
MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,SCEA,E
Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,Neko Entertainment,E
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,,
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,Mistwalker,T
Spider-Man 3,PS2,2007,Platform,Activision,Vicarious Visions,T
The Simpsons Game,PS3,2007,Action,Electronic Arts,EA Redwood Shores,T
Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,,
Madden NFL 08,Wii,2007,Sports,Electronic Arts,EA Tiburon,E
DiRT,X360,2007,Racing,Codemasters,Codemasters,E
Warriors Orochi,PS2,2007,Action,Tecmo Koei,Omega Force,T
SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,SCEE,T
FIFA Soccer 08,DS,2007,Sports,Electronic Arts,,
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,Crystal Dynamics,T
NBA 2K8,X360,2007,Sports,Take-Two Interactive,Visual Concepts,E
Ratatouille,PS2,2007,Action,THQ,Asobo Studio,E
Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,Visual Impact,E
Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,High Voltage Software,E10+
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,Ubisoft,T
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,Nex Entertainment,T
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,Marvelous Entertainment,E
I Spy: Fun House,DS,2007,Puzzle,Scholastic Inc.,Big Blue Bubble Inc.,E
Stranglehold,X360,2007,Shooter,Midway Games,Midway,M
Patapon,PSP,2007,Misc,Sony Computer Entertainment,SCE Japan Studio,E
Final Fantasy XI: Wings of the Goddess,PS2,2007,Role-Playing,Square Enix,Square Enix,T
Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,Ubisoft Paris,E10+
Dance Dance Revolution SuperNOVA 2,PS2,2007,Simulation,Konami Digital Entertainment,Konami,E10+
NCAA Football 08,PS2,2007,Sports,Electronic Arts,EA Tiburon,E
The Sims 2: Castaway,PSP,2007,Simulation,Electronic Arts,Maxis,E10+
Buzz! The Hollywood Quiz,PS2,2007,Misc,Sony Computer Entertainment,,
The World Ends With You,DS,2007,Role-Playing,Square Enix,Jupiter Corporation,T
Drawn to Life,DS,2007,Action,THQ,5TH Cell,E
Kane & Lynch: Dead Men,X360,2007,Shooter,Eidos Interactive,,
Kane & Lynch: Dead Men,PS3,2007,Shooter,Eidos Interactive,,
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,Square Enix,E10+
Spectrobes,DS,2007,Role-Playing,Disney Interactive Studios,Jupiter Corporation,E
Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,Ubisoft,Ubisoft Montreal,T
Namco Museum Remix,Wii,2007,Misc,Atari,TOSE,E
Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,Eurocom Entertainment Software,T
Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,EA Salt Lake,E
Practise English!,DS,2007,Misc,Nintendo,,
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,TOSE,E
NBA Live 08,PS2,2007,Sports,Electronic Arts,EA Canada,E
Major League Baseball 2K7,X360,2007,Sports,Spike,Kush Games,E
Skate,X360,2007,Sports,Electronic Arts,EA Black Box,T
Ben 10: Protector of Earth,PSP,2007,Action,D3Publisher,High Voltage Software,E10+
Crysis,PC,2007,Shooter,Electronic Arts,Crytek,M
The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,Full Fat,E
Madden NFL 08,PSP,2007,Sports,Electronic Arts,EA Tiburon,E
Two Worlds,X360,2007,Role-Playing,SouthPeak Games,Reality Pump,M
NCAA Football 08,X360,2007,Sports,Electronic Arts,EA Sports,E
Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,Kojima Productions,T
Shrek the Third,X360,2007,Action,Activision,,
MX vs. ATV Untamed,X360,2007,Racing,THQ,Rainbow Studios,E
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,Clap Hanz,E
Cars: Mater-National Championship,DS,2007,Racing,THQ,Rainbow Studios,E
Spider-Man 3,PS3,2007,Platform,Activision,Treyarch,T
Unreal Tournament III,PS3,2007,Shooter,Midway Games,Epic Games,M
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,Square Enix,E10+
Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,Page 44 Studios,T
The Darkness,PS3,2007,Shooter,Take-Two Interactive,Starbreeze,M
Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,,
Ratatouille,PSP,2007,Action,THQ,Locomotive Games,E
Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,Misc,Namco Bandai Games,,
Wario: Master of Disguise,DS,2007,Platform,Nintendo,Suzak,E10+
SingStar Pop Hits,PS2,2007,Misc,Sony Computer Entertainment,,
SingStar R&B,PS2,2007,Misc,Sony Computer Entertainment,,
MX vs. ATV Untamed,PSP,2007,Racing,THQ,Rainbow Studios,E
Paws & Claws: Pet Vet,DS,2007,Simulation,THQ,,
Star Ocean: First Departure,PSP,2007,Role-Playing,Square Enix,TOSE,T
Stuntman: Ignition,X360,2007,Racing,THQ,Paradigm Entertainment,T
NBA Live 08,PS3,2007,Sports,Electronic Arts,EA Canada,E
Juiced 2: Hot Import Nights,X360,2007,Racing,THQ,Juice Games,T
Sega Rally Revo,PS3,2007,Racing,Sega,SEGA Racing Studio,E
Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,Atlus Co.,M
Crash of the Titans,PSP,2007,Action,Vivendi Games,SuperVillain Studios,E10+
Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,MagicWand,T
Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,Paon Corporation,E
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,,
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,THQ,E
Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,,
NBA 2K8,PS2,2007,Sports,Take-Two Interactive,Visual Concepts,E
The Golden Compass,DS,2007,Action,Sega,Artificial Mind and Movement,E10+
Major League Baseball 2K7,PS2,2007,Sports,Spike,Kush Games,E
SimCity DS,DS,2007,Simulation,Electronic Arts,Aki Corp.,E
Spelling Challenges and more!,DS,2007,Misc,505 Games,,
Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,TOSE,E10+
Blacksite: Area 51,X360,2007,Shooter,Midway Games,Midway Studios - Austin,T
Petz Dogz 2,Wii,2007,Simulation,Ubisoft,Ubisoft,E
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,,
Spider-Man 3,X360,2007,Platform,Activision,Treyarch,T
Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,Crystal Dynamics,T
Bratz 4 Real,DS,2007,Adventure,THQ,THQ,E
Odin Sphere,PS2,2007,Role-Playing,Square Enix,Vanilla Ware,T
NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,EA Canada,E
Petz Dogz 2,PS2,2007,Simulation,Ubisoft,Ubisoft,E
Manhunt 2,PS2,2007,Action,Take-Two Interactive,Rockstar London,M
Tony Hawk's Proving Ground,X360,2007,Sports,Activision,Neversoft Entertainment,T
TMNT,X360,2007,Action,Ubisoft,Ubisoft Montreal,E10+
No More Heroes,Wii,2007,Action,Rising Star Games,Grasshopper Manufacture,M
NBA 2K8,PS3,2007,Sports,Take-Two Interactive,Visual Concepts,E
Purr Pals,DS,2007,Simulation,THQ,Brain Toys,E
Donkey Kong Jungle Climber,DS,2007,Platform,Nintendo,,
Tiger Woods PGA Tour 08,X360,2007,Sports,Electronic Arts,EA Salt Lake,E
F.E.A.R.,PS3,2007,Shooter,Vivendi Games,Day 1 Studios,M
Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,Cing,T
Manhunt 2,Wii,2007,Action,Take-Two Interactive,Rockstar Toronto,M
Are You Smarter Than A 5th Grader?,DS,2007,Misc,Mindscape,ValuSoft,E
Stuntman: Ignition,PS3,2007,Racing,THQ,Paradigm Entertainment,T
The Golden Compass,PS2,2007,Action,Sega,Shiny Entertainment,E10+
NBA Live 08,X360,2007,Sports,Electronic Arts,EA Canada,E
Ratatouille,PS3,2007,Action,THQ,Heavy Iron Studios,E
Petz: Hamsterz Life 2,DS,2007,Misc,Ubisoft,,
The BIGS,PS2,2007,Sports,Take-Two Interactive,Blue Castle Games,E
My Word Coach,Wii,2007,Misc,Ubisoft,Ubisoft,E
Ratatouille,Wii,2007,Action,THQ,Asobo Studio,E
Paws & Claws: Dogs & Cats Best Friends,DS,2007,Simulation,THQ,,
Picross DS,DS,2007,Puzzle,Nintendo,Jupiter Corporation,E
Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,Square Enix,TOSE,T
Test Drive Unlimited,PSP,2007,Racing,Atari,Melbourne House,E10+
Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami Digital Entertainment,Konami,E10+
NBA Street Homecourt,X360,2007,Sports,Electronic Arts,EA Canada,E
Tomb Raider: Anniversary,PS2,2007,Action,Eidos Interactive,Crystal Dynamics,T
Nicktoons: Attack of the Toybots,PS2,2007,Platform,THQ,Blue Tongue,E
Cars Mater-National Championship,Wii,2007,Racing,THQ,Incinerator Games,E
Boogie,Wii,2007,Misc,Electronic Arts,EA Montreal,E10+
Fire Emblem: Radiant Dawn,Wii,2007,Strategy,Nintendo,Intelligent Systems,E10+
Shrek the Third,PS2,2007,Action,Activision,Amaze Entertainment,E10+
Bratz: The Movie,PS2,2007,Simulation,THQ,Blitz Games,E
Crash of the Titans,DS,2007,Action,Vivendi Games,Amaze Entertainment,E
Scrabble 2007 Edition,DS,2007,Puzzle,Ubisoft,,
Spider-Man 3,Wii,2007,Platform,Activision,Vicarious Visions,T
The Sims 2: Pets,Wii,2007,Simulation,Electronic Arts,Maxis,T
Shadowrun,X360,2007,Role-Playing,Microsoft Game Studios,FASA Studio,M
Crazy Taxi: Fare Wars,PSP,2007,Racing,Sega,Sega,E10+
Spider-Man: Friend or Foe,DS,2007,Action,Activision,Artificial Mind and Movement,E10+
Spider-Man 3,DS,2007,Platform,Activision,Vicarious Visions,E10+
Metal Gear Solid: The Essential Collection,PS2,2007,Adventure,Konami Digital Entertainment,Konami,M
Imagine: Figure Skater (US sales),DS,2007,Sports,Ubisoft,,
Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,EA Games,E10+
Syphon Filter: Logan's Shadow,PSP,2007,Shooter,Sony Computer Entertainment,Sony Bend,T
SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,SCEE London Studio,T
Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,Crave,E
MX vs. ATV Untamed,PS3,2007,Racing,THQ,Rainbow Studios,E
The Golden Compass,X360,2007,Action,Sega,Shiny Entertainment,E10+
The New York Times Crosswords,DS,2007,Puzzle,Majesco Entertainment,BudCat,T
Burnout Dominator,PSP,2007,Racing,Electronic Arts,Criterion Games,E10+
Crash of the Titans,Wii,2007,Action,Vivendi Games,Radical Entertainment,E10+
My Fashion Studio,DS,2007,Misc,Ubisoft,505 Games,E
Pirates of the Caribbean: At World's End,Wii,2007,Action,Disney Interactive Studios,Eurocom Entertainment Software,T
Bee Movie Game,DS,2007,Action,Activision,Vicarious Visions,E
Sega Rally Revo,X360,2007,Racing,Sega,SEGA Racing Studio,E
Tony Hawk's Proving Ground,PS3,2007,Sports,Activision,Neversoft Entertainment,T
Petz: Catz 2,Wii,2007,Simulation,Ubisoft,Ubisoft,E
Super Robot Taisen OG: Original Generations,PS2,2007,Strategy,Banpresto,,
Puppy Luv: Spa and Resort,DS,2007,Simulation,Activision,Humagade,E
The Darkness,X360,2007,Shooter,Take-Two Interactive,Starbreeze,M
Thrillville: Off the Rails,Wii,2007,Strategy,LucasArts,Frontier Developments,E10+
SpongeBob's Atlantis SquarePantis,PS2,2007,Action,THQ,THQ,E
Nicktoons: Attack of the Toybots,Wii,2007,Platform,THQ,Blue Tongue Entertainment,E
Dragon Ball Z: Shin Budokai - Another Road,PSP,2007,Fighting,Atari,,
Petz: Horsez 2,DS,2007,Simulation,Ubisoft,Virtual Toys,E
Def Jam Icon,PS3,2007,Action,Electronic Arts,EA Chicago,M
The Legend of Spyro: The Eternal Night,PS2,2007,Platform,Vivendi Games,Krome Studios,E10+
Command & Conquer 3: Tiberium Wars,X360,2007,Strategy,Electronic Arts,,
Avatar: The Last Airbender - The Burning Earth,PS2,2007,Action,THQ,,
Petz: Horsez 2,Wii,2007,Simulation,Ubisoft,Phoenix Games Studio,E
Pirates of the Caribbean: At World's End,PSP,2007,Action,Disney Interactive Studios,Eurocom Entertainment Software,T
Thrillville: Off the Rails,PS2,2007,Strategy,LucasArts,Frontier Developments,E10+
Solitaire Overload,DS,2007,Misc,Telegames,Telegames,E
Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,Eurocom Entertainment Software,T
Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007,Adventure,Nintendo,,
Crash of the Titans,PS2,2007,Action,Vivendi Games,Radical Entertainment,E10+
TimeShift,X360,2007,Shooter,Vivendi Games,Saber Interactive,M
Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,Konami,T
Itadaki Street DS,DS,2007,Misc,Square Enix,,
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,Collision Studios,M
Yu-Gi-Oh! GX: Tag Force 2,PSP,2007,Strategy,Konami Digital Entertainment,,
Cars: Mater-National Championship,PS3,2007,Racing,THQ,Rainbow Studios,E
Rogue Galaxy: Director's Cut,PS2,2007,Role-Playing,Sony Computer Entertainment,,
Medal of Honor Heroes 2,Wii,2007,Shooter,Electronic Arts,EA Canada,T
Beowulf: The Game,X360,2007,Action,Ubisoft,Ubisoft Shanghai,M
Overlord,X360,2007,Strategy,Codemasters,Triumph Studios,T
Hot Wheels: Beat That!,PS2,2007,Racing,Activision,Eutechnyx,E
Brunswick Pro Bowling,PS2,2007,Sports,505 Games,Point of View,E
Naruto: Path of the Ninja,DS,2007,Role-Playing,D3Publisher,TOSE,E10+
Tomb Raider: Anniversary,X360,2007,Action,Eidos Interactive,Crystal Dynamics,T
Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive,7 Studios,T
Juiced 2: Hot Import Nights,PS2,2007,Racing,THQ,Juice Games,T
Tiger Woods PGA Tour 08,PS2,2007,Sports,Electronic Arts,EA Salt Lake,E
Looney Tunes: Acme Arsenal,PS2,2007,Action,Warner Bros. Interactive Entertainment,Red Tribe,E10+
SD Gundam G Generation Spirits,PS2,2007,Strategy,Namco Bandai Games,,
Diner Dash: Sizzle & Serve,DS,2007,Puzzle,Eidos Interactive,,
NCAA Football 08,PS3,2007,Sports,Electronic Arts,EA Sports,E
Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft,,
Brunswick Pro Bowling,Wii,2007,Sports,505 Games,Point of View,E
Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari,NanaOn-Sha,E
MX vs. ATV Untamed,PS2,2007,Racing,THQ,Rainbow Studios,E
The Dog Island,Wii,2007,Adventure,Ubisoft,Yuke's,E
Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts,EA Salt Lake,E
Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios,Blueside,M
Spider-Man: Friend or Foe,PS2,2007,Action,Activision,Next Level Games,E10+
Skate,PS3,2007,Sports,Electronic Arts,EA Black Box,T
Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games,,
The BIGS,Wii,2007,Sports,Take-Two Interactive,Blue Castle Games,E
Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ,Juice Games,T
The Legend of Spyro: The Eternal Night,DS,2007,Platform,Vivendi Games,Amaze Entertainment,E
Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,EA Games,E10+
The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,EA Redwood Shores,T
My Horse & Me,DS,2007,Sports,Atari,,
TMNT,Wii,2007,Action,Ubisoft,Ubisoft Montreal,E10+
SOCOM: Tactical Strike,PSP,2007,Shooter,Sony Computer Entertainment,,
College Hoops 2K8,PS2,2007,Sports,Take-Two Interactive,Visual Concepts,E
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,Destination Software,E10+
Def Jam Icon,X360,2007,Action,Electronic Arts,EA Chicago,M
Pirates of the Caribbean: At World's End,DS,2007,Action,Disney Interactive Studios,Amaze Entertainment,E10+
Battalion Wars 2,Wii,2007,Strategy,Nintendo,Kuju Entertainment,T
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,,
Conan,PS3,2007,Action,THQ,Nihilistic,M
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,Hudson Soft,,
Football Manager Handheld 2008,PSP,2007,Sports,Sega,,
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,1st Playable Productions,E10+
Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,Eurocom Entertainment Software,T
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,SCEJ,T
Mega Man ZX Advent,DS,2007,Platform,Capcom,Inti Creates,E10+
Bee Movie Game,Wii,2007,Action,Activision,Smart Bomb Interactive,E
Planet Puzzle League,DS,2007,Puzzle,Nintendo,Intelligent Systems,E
Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft,Ubisoft Montreal,T
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,2007,Misc,Rocket Company,,
SSX Blur,Wii,2007,Sports,Electronic Arts,EA Montreal,E
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,Tecmo Koei,,
EA Playground,DS,2007,Sports,Electronic Arts,Piranha Games,E
Eternal Sonata,X360,2007,Role-Playing,Atari,Tri-Crescendo,T
Dance Dance Revolution Universe,X360,2007,Simulation,Konami Digital Entertainment,Konami,E10+
Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games,Now Production,E
Crash of the Titans,X360,2007,Action,Vivendi Games,Radical Entertainment,E10+
Shrek the Third,PSP,2007,Action,Activision,Amaze Entertainment,E10+
MLB 07: The Show,PS3,2007,Sports,Sony Computer Entertainment,SCEA San Diego Studios,E
Jikkyou Powerful Pro Yakyuu 14,PS2,2007,Sports,Konami Digital Entertainment,,
Fishing Master,Wii,2007,Misc,Konami Digital Entertainment,Hudson Soft,E
Digimon World: Dawn / Dusk,DS,2007,Role-Playing,Namco Bandai Games,,
